Species,Ref,Median.Latitude,Median.Longitude,Capture.Year,Julian.Median,Julian.Range,N.sample,Length.mm.TL,p.Water,p.Protein,p.Lipid,p.Ash,EnergyDensity.kJ/g,L_calc,EDtype
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,135,30,1,92.656,,,,,3.723,0,paper
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,288,30,1,62.352,,,,,3.725,0,paper
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,288,30,1,66.307,,,,,3.761,0,paper
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,288,30,1,61.191,,,,,3.766,0,paper
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,288,30,1,70.679,,,,,3.822,0,paper
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,135,30,1,103.366,,,,,3.871,0,paper
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,288,30,1,67.542,,,,,3.881,0,paper
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,288,30,1,72.733,,,,,3.901,0,paper
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,135,30,1,104.135,,,,,3.912,0,paper
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,135,30,1,102.95,,,,,3.94,0,paper
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,135,30,1,75.594,,,,,3.943,0,paper
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,135,30,1,122.453,,,,,3.997,0,paper
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,135,30,1,90.319,,,,,4.001,0,paper
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,135,30,1,74.232,,,,,4.007,0,paper
Engraulis encrasicolus,"Tirelli, V., Borme, D., Tulli, F., Cigar, M., Fonda Umani, S. & Brandt, S.B. (2006) Energy density of anchovy Engraulis encrasicolus L. in the Adriatic Sea. Journal of Fish Biology, 982_989.",44,12,2003,135,30,1,112.369,,,,,4.011,0,paper
